ido_word,esperanto_word,in_current_dict
Aleksejs Širovs,Alexei Shirov,False
Aleksis Kivi,Aleksis Kivi,False
Alenka Bratušek,Alenka Bratušek,False
Alessandra Ambrosio,Alessandra Ambrosio,False
Alessandro Algardi,Alessandro Algardi,False
Alessandro Manzoni,Alessandro Manzoni,False
Alessandro Volta,Alessandro Volta,False
Alexander Dubček,Alexander Dubček,False
Alexander Fleming,Alexander Fleming,False
Alexander Gode,Alexander Gode,False
Alexander Kielland,Alexander Kielland,False
Alexander Pope,Alexander Pope,False
Alexander Schallenberg,Alexander Schallenberg,False
Alexander Stubb,Alexander Stubb,False
Alexander Todd,Alexander Todd,False
Alexander Zverev,Alexander Zverev,False
Alexandre Millerand,Alexandre Millerand,False
Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez,False
Alexandros Mavrokordatos,Aleksandros Mavrokordatos,False
Alexandros Papagos,Aleksandros Papagos,False
Alexandru Vaida-Voevod,Alexandru Vaida-Voevod,False
Alexis Carrel,Alexis Carrel,False
Alexis Tsipras,Aleksis Tsipras,False
Alfabeto Braille,Brajlo,False
Alfons Mucha,Alfons Mucha,False
Alfred Adler,Alfred Adler,False
Alfred Andersch,Alfred Andersch,False
Alfred Dreyfus,Alfred Dreyfus,False
Alfred Gusenbauer,Alfred Gusenbauer,False
Alfred Hitchcock,Alfred Hitchcock,False
Alfred Jarry,Alfred Jarry,False
Alfred Jodl,Alfred Jodl,False
Alfred Kastler,Alfred Kastler,False
Alfred Manessier,Alfred Manessier,False
Alfred Molina,Alfred Molina,False
Alfred Nobel,Alfred Nobel,False
Alfred Rosenberg,Alfred Rosenberg,False
Alfred Sisley,Alfred Sisley,False
Alfred Stieglitz,Alfred Stieglitz,False
Alfred Wegener,Alfred Wegener,False
Alfred Werner,Alfred Werner,False
Alfredo Palacio,Alfredo Palacio,False
Alfredo Stroessner,Alfredo Stroessner,False
Algirdas Brazauskas,Algirdas Brazauskas,False
Algirdas Butkevičius,Algirdas Butkevičius,False
Ali Khamenei,Ali Ĥamenei,False
Ali Shariati,Ali Ŝariati,False
Alice Cooper,Alice Cooper,False
Alice Munro,Alice Munro,False
Alice Neel,Alice Neel,False
Alice Springs,Alice Springs,False
Alice Weidel,Alice Weidel,False
Alicia Keys,Alicia Keys,False
Alicia Silverstone,Alicia Silverstone,False
Alkoholiki Anonima,Alkoholuloj Anonimaj,False
Allen Ginsberg,Allen Ginsberg,False
Allen Toussaint,Allen Toussaint,False
Allvar Gullstrand,Allvar Gullstrand,False
Alma Mater,Alma mater,False
Almazbek Atambayev,Almazbek Atambajev,False
Almeida Garrett,Almeida Garrett,False
Alois Alzheimer,Alois Alzheimer,False
Alpha Centauri,Alfa Centaŭro,False
Alpha Condé,Alpha Condé,False
"Alpharetta, Georgia",Alpharetta (Georgio),False
Alphonse Daudet,Alphonse Daudet,False
Alphonse Matejka,Alphonse Matejka,False
Alta Teri,Altaj Landoj,False
"Altoona, Pensilvania",Altoona (Pensilvanio),False
Alva Myrdal,Alva Myrdal,False
