ido_word,esperanto_word,in_current_dict,in_wiktionary
Androido,Androido,False,no
Andromahe,Andromaĥo,False,no
Anestezio,Anestezo,False,no
Angeliko,Angelikoj,False,no
Angiospermi,Angiospermoj,False,no
Anglikanismo,Anglikanismo,False,no
Anguila,Angvilo,False,no
Anhinoe,Ankinoo,False,no
Animal-Farmeyo,La Besto-Farmo,False,no
Animalo,Bestoj,False,no
Animismo,Animismo,False,no
Animo,Animacio,False,no
Aniva,Aniva,False,no
Ankara,Ankaro,False,no
Annaba,Annaba,False,no
Annapurna,Anapurno,False,no
Anomio,Anomio,False,no
Anonimeso,Anonimeco,False,no
Anosmio,Anosmio,False,no
Antalya,Antalya,False,no
Antananarivo,Antananarivo,False,no
Antarktika,Antarkto,False,no
Antequera,Antequera,False,no
Anteridio,Anteridio,False,no
Antezo,Antezo,False,no
Anti-nacionalismo,Sennaciismo,False,no
Anti-Semidismo,Antisemitismo,False,no
Anticipo,Anticipo,False,no
Antifrazo,Antifrazo,False,no
Antilohos,Antiloĥo,False,no
Antimonio,Antimono,False,no
Antinomio,Antinomio,False,no
Antiqueso,Antikva epoko,False,no
Antitoxino,Antitoksino,False,no
Antoinismo,Antoinismo,False,no
Antonina,Antonina,False,no
Antonomazio,Antonomazio,False,no
Antropometrio,Antropometrio,False,no
Anxio,Anksieco,False,no
Anzio,Anzio,False,no
Aosta,Aosto,False,no
Apalachi,Apalaĉaj Montoj,False,no
Apanajo,Apanaĝo,False,no
Apate,Apato,False,no
Apertivo,Aperitivo,False,no
Apia,Apio,False,no
Apollon-asteroido,Apolona asteroido,False,no
Apologo,Apologo,False,no
Apoziciono,Apozicio,False,no
Aprelevka,Aprelevka,False,no
Apteso,Kapablo,False,no
Apuleius,Apuleo,False,no
Apulia,Apulio,False,no
Aquaforto,Akvaforto,False,no
Aquatinto,Akvatinta gravuraĵo,False,no
Aqueyo,Akvejo,False,no
Aquilegio,Akvilegio,False,no
Aquo-ciklo,Akva ciklo,False,no
Aquobalo,Akvopilkado,False,no
Aquofluo,Akva fluanto,False,no
Aquofonto,Akvofonto,False,no
