ido_word,esperanto_word,in_current_dict,in_wiktionary
Deslibera programaro,Mallibera programaro,False,no
Devanagari alfabeto,Nagario,False,no
Devon,Devono,False,no
Diferencial equaciono,Diferenciala ekvacio,False,no
Diferenciala geometrio,Diferenciala geometrio,False,no
Digestiva sistemo,Digesta sistemo,False,no
Dijitala elektroniko,Cifereca elektroniko,False,no
Diofantan equaciono,Diofanta ekvacio,False,no
Distinta spaco,Diskreta spaco,False,no
Distributita komputado,Disa komputado,False,no
Dokumentala filmo,Dokumenta filmo,False,no
Dopado biokemiala,Dopado,False,no
Dravidana linguaro,Dravida lingvaro,False,no
Dublin,Dublino,False,no
Duesma mondomilito,Dua Mondmilito,False,no
Duopla stelo,Duopa stelo,False,no
Egea maro,Egea maro,False,no
Egipta mitologio,Egipta Mitologio,False,no
Egiptiana hieroglifi,Egiptaj hieroglifoj,False,no
Egiptiana kalendario,Egipta kalendaro,False,no
Ekleziala muziko,Eklezia muziko,False,no
Elektra charjo,Elektra ŝargo,False,no
Elektra feldo,Elektra kampo,False,no
Elektra konduktivo,Elektra konduktivo,False,no
Elektra korento,Elektra kurento,False,no
Elektral energio,Elektra energio,False,no
Elektrala mashino,Elektromotoro,False,no
Elektrala rezistiveso,Elektra rezistanco,False,no
Elektrala telegrafilo,Elektra telegrafo,False,no
Elektromagnetala feldo,Elektromagneta kampo,False,no
Elektromagnetik interago,Elektromagneta forto,False,no
Elektronala lektilo,Elektronika librolegilo,False,no
Elektronala libro,Bitlibro,False,no
Elektronala sigareto,Elektronika cigaredo,False,no
Elektronikala cirkuito,Elektronika cirkvito,False,no
Elektronikala komerco,Retkomerco,False,no
Enec linguo,Eneca lingvo,False,no
Ensembli desjuntanta,Disaj aroj,False,no
Ensemblo vakua,Malplena aro,False,no
Epifron,Epifrono,False,no
Equador,Ekvadoro,False,no
Equatorala klimato,Ekvatora klimato,False,no
Equitatoza komerco,Justa komerco,False,no
Escherichia coli,Kojlobacilo,False,no
Esencatra oleo,Vegetaĵa esenco,False,no
Estoniana linguo,Estona lingvo,False,no
Etnala konflikto,Etna konflikto,False,no
Euklidana disto,Eŭklida distanco,False,no
Euklidana geometrio,Eŭklida geometrio,False,no
Euklidana spaco,Eŭklida spaco,False,no
Euraziana stepo,Eŭrazia Stepo,False,no
Europana nacionalismo,Eŭropa naciismo,False,no
Euskara batua,Euskara batua,False,no
Evolucionala psikologio,Evolua psikologio,False,no
Exakta cienci,Ekzaktaj sciencoj,False,no
Exokalorala reakto,Ekzoterma reakcio,False,no
Extraktiva metalurgio,Elprena metalurgio,False,no
Extrema dextro,Dekstra ekstremismo,False,no
Extremadurana linguo,Ekstremadura lingvovario,False,no
Faerana linguo,Feroa lingvo,False,no
Faeton,Faetono,False,no
Falsa amiko,Falsaj amikoj,False,no
